Exam,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Source,Difficulty
Mock Exam 1,1,What is the primary characteristic that distinguishes Fuzzy Logic from Bivalent Logic?,Fuzzy Logic uses only 0s and 1s.,Fuzzy Logic allows for degrees of truth between 0 and 1.,Fuzzy Logic is exclusively used in hardware.,Fuzzy Logic does not handle ambiguity.,B,Lecture_W1L18_Lecture_1__Introduction___Fuzzy_Sets__Logic_and_Sy,Easy
Mock Exam 1,2,"In the context of fuzzy sets, what does a membership value (µ) of 0.7 signify?",The element is 70% outside the set.,The element is 70% a member of the set.,The element is 7% a member of the set.,The element is not a member of the set.,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 1,3,Which of the following is NOT a component of a Fuzzy Inference System (FIS)?,Fuzzifier,Inference Engine,Defuzzifier,Crisp Rule Base,D,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Easy
Mock Exam 1,4,What is the purpose of a Linguistic Hedge in fuzzy logic?,To define the universe of discourse for a fuzzy set.,To modify the meaning of a primary linguistic term.,To convert a fuzzy set into a crisp value.,To establish the core of a fuzzy set.,B,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Easy
Mock Exam 1,5,Which fuzzy set operation corresponds to the logical 'OR' connective?,Intersection,Complement,Union,Difference,C,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Easy
Mock Exam 1,6,What is the defining characteristic of a Normal Fuzzy Set?,All elements have a membership value of 0.5.,At least one element has a membership value of 1.,All elements have membership values less than 1.,It must be a triangular membership function.,B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Easy
Mock Exam 1,7,What is the primary function of the Fuzzifier component in a Fuzzy Inference System?,To convert fuzzy outputs to crisp values.,To store the fuzzy rules.,To convert crisp input values into fuzzy values.,To perform fuzzy arithmetic operations.,C,Lecture_W10L94_Lecture_50__Fuzzy_Inference_System,Easy
Mock Exam 1,8,"In a Mamdani Fuzzy Model, what type of value is the consequent (THEN part) of a rule?",A crisp numerical value.,A fuzzy set.,A probability distribution.,A Boolean true/false statement.,B,Lecture_W11L98_Lecture_51__Mamdani_Fuzzy_Model__Part_I_,Easy
Mock Exam 1,9,"Which operation is used to model the linguistic hedge ""very""?",Dilation (square root),Negation (1 - µ),Concentration (squaring),Union (max),C,Lecture_W9L82_Lecture_41__Linguistic_Hedges,Easy
Mock Exam 1,10,"What is the main advantage of the TSK Fuzzy Model over the Mamdani model regarding
its output?","TSK models produce a fuzzy set as output, requiring defuzzification.","TSK models directly output a crisp value, bypassing complex defuzzification.","TSK models can handle fuzzy inputs, while Mamdani cannot.","TSK models use only two rules, simplifying the rule base.",B,Lecture_W12L110_Lecture_60__TSK_Fuzzy_Model,Easy
Mock Exam 1,11,"Consider a fuzzy set `A = 0.2/16 + 0.1/17 + 0.5/18 + 1.0/19`. What do the `+` and `/`
symbols represent in this notation?","`+` is arithmetic addition, `/` is division.","`+` denotes a collection of pairs, `/` separates membership value from element.","`+` is a logical OR, `/` is a logical AND.","`+` represents a union, `/` represents an intersection.",B,Lecture_W1L20_Lecture_3__Fuzzy_Sets_and_Fuzzy_Logic_Toolbox_in_M,Medium
Mock Exam 1,12,A fuzzy set `A` has a height of 0.8. What can be concluded about this fuzzy set?,It is a normal fuzzy set.,It is a subnormal fuzzy set.,Its core is non-empty.,It must be a triangular membership function.,B,Lecture_W2L27_Lecture_7__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 1,13,Which of the following properties of classical sets is VIOLATED by fuzzy sets?,Idempotency,Involution,Law of Contradiction,Commutativity,C,Lecture_W3L35_Lecture_12__Properties_of_Fuzzy_Sets__Part_I_,Medium
Mock Exam 1,14,"Given two fuzzy sets `A` and `B`, what is the formula for their fuzzy difference `A \ B`?","`max(µ_A(x), µ_B(x))`","`min(µ_A(x), µ_B(x))`","`min(µ_A(x), 1 - µ_B(x))`","`1 - max(µ_A(x), µ_B(x))`",C,Lecture_W3L34_Lecture_11__Set_Theoretic_Operations_on_Fuzzy_Sets,Medium
Mock Exam 1,15,"In the context of the Mamdani model with multiple antecedents connected by `AND`,
how is the overall firing strength of a rule calculated using Max-Min composition?",By taking the product of individual antecedent firing strengths.,By taking the sum of individual antecedent firing strengths.,By taking the minimum of individual antecedent firing strengths.,By taking the maximum of individual antecedent firing strengths.,C,Lecture_W11L99_Lecture_52__Mamdani_Fuzzy_Model__Part_II_,Medium
Mock Exam 1,16,"What is the key difference in how the Larsen Fuzzy Model generates its output
membership function compared to the Mamdani Fuzzy Model?","Larsen uses a product operator for implication, Mamdani uses min.","Larsen scales the consequent fuzzy set, Mamdani truncates it.","Larsen requires crisp inputs, Mamdani requires fuzzy inputs.","Larsen defuzzifies each rule's output, Mamdani aggregates fuzzy outputs.",B,Lecture_W12L106_Lecture_56__Larsen_Fuzzy_Model__Part_I_,Medium
Mock Exam 1,17,Which of the following is a characteristic of a Fuzzy Number?,It must be subnormal and non-convex.,It must be normal and convex.,It can be any fuzzy set.,Its membership function must be sigmoidal.,B,Lecture_W2L29_Lecture_9__Nomenclatures_used_in_Fuzzy_Set_Theory_,Medium
Mock Exam 1,18,"The Extension Principle resolves conflicts in many-to-one mappings by assigning what
to the target element's membership?",The minimum membership value from all source elements.,The average membership value from all source elements.,The maximum membership value from all source elements.,The sum of membership values from all source elements.,C,Lecture_W7L70_Lecture_35__Extension_Principle,Medium
Mock Exam 1,19,"What are the two essential properties a fuzzy relation must possess to be classified as
a Fuzzy Tolerance Relation?",Transitivity and Symmetry.,Reflexivity and Transitivity.,Reflexivity and Symmetry.,Normality and Convexity.,C,Lecture_W8L76_Lecture_38__Fuzzy_Tolerance_and_Equivalence_Relati,Medium
Mock Exam 1,20,"In the context of fuzzy arithmetic, what is a notable property of fuzzy multiplication (A *",It always results in a fuzzy number.,It is not commutative.,The resulting fuzzy set may not be normal.,It does not propagate uncertainty.,C,Lecture_W5L50_Lecture_21__Arithmetic_Operations_on_Fuzzy_Numbers,Medium
Mock Exam 1,21,"Which of the following statements about the properties of fuzzy relation composition
(max-min) is true?",It is always fully distributive over intersection.,It is not associative.,It is associative and distributes over union.,It is not monotonic.,C,Lecture_W8L75_Lecture_37__Properties_of_Composition_of_Fuzzy_Rel,Medium
